id,officer_id,created_at,updated_at,allegation_id
38817,16471,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079643
38818,10549,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079643
38819,1744,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079647
38820,3824,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079661
38821,3824,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079661
38822,12457,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079710
38823,11950,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079710
38824,17382,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079722
38825,14077,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079713
38826,24620,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079713
38827,14213,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079755
38828,14213,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079755
38829,792,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080125
38830,25833,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080245
38831,8908,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080245
38832,22931,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080280
38833,12984,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080280
38834,6328,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080280
38835,9858,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080280
38836,27036,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080280
38837,21219,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079302
38838,20053,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078099
38839,4507,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078097
38840,12481,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078097
38841,19762,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078097
38842,9482,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078097
38843,3568,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078192
38844,30562,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078192
38845,18314,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078191
38846,10975,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078191
38847,2259,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081943
38848,15288,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081944
38849,12901,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081944
38850,14380,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081944
38851,8777,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081944
38852,7866,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081948
38853,966,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081942
38854,1257,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081942
38855,10554,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081957
38856,7835,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081082
38857,9309,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081082
38858,22176,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081086
38859,6557,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080848
38860,19478,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081692
38861,19478,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081692
38862,25399,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080051
38863,29584,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081132
38864,8404,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077641
38865,16881,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077695
38866,12628,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081154
38867,9310,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081737
38868,9310,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081737
38869,24448,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081748
38870,26272,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081748
38871,4988,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081748
38872,13603,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081748
38873,13314,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081059
38874,18752,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081260
38875,24108,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081260
38876,9370,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081260
38877,8330,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081565
38878,8330,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081565
38879,1141,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077709
38880,5828,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077710
38881,26610,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077710
38882,288,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077710
38883,23307,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077710
38884,4892,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1077836
