id,star,current,officer_id,created_at,updated_at
330,19465,false,250,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
331,9183,true,250,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
336,13730,false,256,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
337,13545,true,256,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
338,21104,true,257,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
339,10058,false,257,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
356,14558,true,273,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
357,18487,false,273,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
358,16929,false,273,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
379,11798,true,288,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
380,11895,false,288,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
388,262,true,295,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
389,15821,false,295,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
390,1787,false,295,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
392,20359,false,297,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
393,16646,false,297,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
410,254,true,312,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
412,1120,false,312,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
414,805,false,312,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
419,5050,false,315,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
420,19013,false,315,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
424,531,true,319,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
425,649,false,319,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
