,model,importances,parameters,set,type,outcome,train_start,train_end,test_start,test_end,precision_at_100,precision_at_5,precision_at_20,precision_at_50,precision_at_80,recall_at_100,recall_at_5,recall_at_20,recall_at_50,recall_at_80,f1_at_5,accuracy_at_50
21,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,regular,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
22,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,augmented,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.6701030927835051,0.2699228791773779,0.14696813977389517,0.10468850353243417,1.0,0.38922155688622756,0.6287425149700598,0.8562874251497006,0.9760479041916168,0.4924242424242425,0.5613764766307139
23,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,augmented,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
24,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5321100917431193,0.28018223234624146,0.1640838650865998,0.11788154897494305,1.0,0.27358490566037735,0.5801886792452831,0.8490566037735849,0.9764150943396226,0.36137071651090347,0.5676537585421413
25,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",0,regular,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
26,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",0,augmented,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.6055045871559633,0.2938496583143508,0.1640838650865998,0.11788154897494305,1.0,0.3113207547169811,0.6084905660377359,0.8490566037735849,0.9764150943396226,0.411214953271028,0.5676537585421413
27,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",0,augmented,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
28,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",1,regular,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.4948453608247423,0.2544987146529563,0.144912641315519,0.10468850353243417,1.0,0.2874251497005988,0.592814371257485,0.844311377245509,0.9760479041916168,0.3636363636363636,0.559322033898305
29,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",1,regular,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
30,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",1,augmented,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.6701030927835051,0.2750642673521851,0.14799588900308325,0.10468850353243417,1.0,0.38922155688622756,0.6407185628742516,0.8622754491017964,0.9760479041916168,0.4924242424242425,0.5624036979969184
