id,race,count,area_id,created_at,updated_at
90,Other,80,443,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
91,Asian,1187,444,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
92,Black,2485,444,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
93,Hispanic,63377,444,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
94,White,11298,444,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
95,Other,863,444,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
96,Asian,355,446,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
97,Black,379,446,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
98,Hispanic,22491,446,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
99,White,1880,446,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
100,Other,384,446,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
101,Asian,1305,447,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
102,Black,842,447,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
103,Hispanic,24563,447,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
104,White,12327,447,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
105,Other,684,447,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
106,Asian,2124,448,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
107,Black,3452,448,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
108,Hispanic,34677,448,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
109,White,32784,448,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
110,Other,1512,448,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
111,Asian,271,449,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
112,Black,22481,449,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
113,Hispanic,28612,449,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
114,White,2958,449,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
115,Other,689,449,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
116,Asian,3413,450,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
117,Black,6466,450,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
118,Hispanic,23239,450,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
119,White,49892,450,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
120,Other,2572,450,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
121,Asian,481,451,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
122,Black,81066,451,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
123,Hispanic,11132,451,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
124,White,4353,451,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
125,Other,611,451,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
126,Asian,61,452,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
127,Black,16954,452,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
128,Hispanic,353,452,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
129,White,315,452,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
130,Other,50,452,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
131,Asian,57,453,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
132,Black,18862,453,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
133,Hispanic,728,453,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
134,White,878,453,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
135,Other,140,453,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
136,Asian,9626,454,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
137,Black,18772,454,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
138,Hispanic,6186,454,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
